lon,lat,flaeche,kaltmiete,europrom2
12.385619203139,51.3352882,250.07,2000.00,7.9977606270244
12.3073159353426,51.35029065,275.00,1189.00,4.3236363636364
12.448144,51.3475977,215.60,1037.20,4.8107606679035
12.407933,51.3544375,173.00,780.00,4.5086705202312
12.31747,51.37513,295.64,2219.00,7.5057502367745
12.440436527264,51.349497983755,283.43,1579.00,5.571040468546
12.3239282,51.3124296,779.50,4148.85,5.3224502886466
12.4116485,51.351074,176.00,1054.00,5.9886363636364
12.3237353,51.3366471,248.00,1185.00,4.7782258064516
12.3346634,51.3359773,195.01,1098.00,5.6304804881801
12.3603165,51.3800178,480.00,2441.00,5.0854166666667
12.3367076,51.3703548,1593.48,7622.00,4.7832417099681
12.34692,51.37091,163.58,1012.00,6.1865753759628
12.34692,51.3693803,139.64,729.00,5.2205671727299
12.3163728,51.3745826,666.12,3660.00,5.4945054945055
12.4001847,51.34211,325.25,1819.38,5.5937893927748
12.3761,51.35029,3763.47,26932.00,7.1561617337191
12.3135229,51.3300852,173.09,845.34,4.8838176671096
12.4080614,51.3574081,204.63,1308.68,6.3953477007281
12.3743344,51.3267313,264.00,1520.00,5.7575757575758
12.37655,51.31936,1572.00,13730.00,8.734096692112
12.3791123904603,51.38491075,170.39,756.04,4.4371148541581
12.4276676,51.3425485,166.00,769.00,4.6325301204819
12.4085799,51.3560652,1676.26,9404.00,5.6101082171024
12.3826654,51.3168383,136.74,1072.00,7.8396957729999
12.4130283,51.3355898,304.00,1715.00,5.6414473684211
12.40708,51.37487,219.00,1190.00,5.4337899543379
12.372164895161,51.3461711,4228.24,33090.00,7.825951223204
12.4326216,51.3766797,350.28,1864.32,5.3223706748887
12.3397716,51.3287184,633.00,4244.00,6.7045813586098
12.396395328256,51.3461978,190.00,860.00,4.5263157894737
12.46868,51.27964,219.50,1255.00,5.7175398633257
12.2857012,51.3257204,175.00,730.00,4.1714285714286
12.40564,51.33422,248.70,1470.00,5.9107358262967
12.4138039,51.3365702,502.85,2708.00,5.3853037685194
12.3404787,51.3694709,189.00,864.00,4.5714285714286
12.40501,51.32125,167.00,1049.00,6.2814371257485
12.3419083576328,51.3219141,236.60,1246.76,5.2694843617921
12.31099,51.35199,171.00,990.00,5.7894736842105
12.40402,51.33015,421.58,2323.00,5.510223445135
12.4064199,51.3370975,224.56,1230.00,5.4773779836124
12.40339,51.3296,196.92,1300.00,6.6016656510258
12.3899806,51.37561035,191.00,983.00,5.1465968586387
12.392647826835,51.33848235301,182.42,1249.45,6.8493038044074
12.3615719,51.3450346,204.00,1440.00,7.0588235294118
12.4141338,51.3459685,437.02,1977.07,4.5239805958537
12.2894852,51.3219449,297.42,1125.61,3.7845807275906
12.3496843997205,51.3674808,219.00,1146.00,5.2328767123288
12.40294,51.34587,207.00,1041.00,5.0289855072464
12.3222437,51.3176323,440.20,2017.00,4.5820081781009
12.40393,51.37575,181.38,974.00,5.3699415591576
12.40393,51.33229,589.22,4086.00,6.9345914938393
12.37142,51.3673,350.96,2472.50,7.0449623888762
12.3951146,51.3638429,435.77,2270.00,5.2091699749868
12.3359016,51.3697199,302.95,1604.00,5.2946030698135
12.34035,51.31989,199.00,1321.00,6.6381909547739
12.37106,51.33021,276.21,1992.00,7.2119039860975
12.4132252,51.3523121,166.00,904.00,5.4457831325301
12.4060384,51.3353193,299.84,1904.00,6.350053361793
12.36281571561,51.3431868,203.00,1263.00,6.2216748768473
12.2836011,51.3134086,589.32,2768.00,4.6969388447702
12.30739,51.35109,2655.32,18047.87,6.7968719401051
