name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußig-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Schönau,.,.,.,.,4,.,5,11,4,.,0,0,0,5,0,6,.,4,0,0,0,0,0,4,5,.,3,0,0,6,8,0,.,0,.,10,14,.,0,0,84,32,27,4,36,31,0,6,10,8,4,6,0,4,.,.,.,4,.,3,.,0,.
Grünau-Ost,0,0,3,6,3,.,.,.,.,.,.,5,0,.,.,4,3,7,.,3,0,0,0,.,6,0,0,.,.,4,4,0,3,0,8,18,28,10,.,0,14,131,49,10,30,38,3,10,14,21,4,6,5,4,0,0,0,.,3,3,4,0,4
Grünau-Mitte,.,.,8,.,7,0,4,3,.,3,4,0,0,7,8,10,3,13,0,0,.,0,0,6,5,.,0,0,5,4,7,3,5,0,6,27,57,16,.,0,40,53,399,13,76,54,5,28,40,5,11,13,.,5,3,.,4,8,6,3,.,4,.
Grünau-Siedlung,0,0,0,0,0,.,.,7,.,0,.,0,0,.,0,3,0,.,0,0,0,0,0,3,0,0,0,0,0,6,.,.,.,0,10,.,12,7,0,0,6,8,30,18,33,9,0,.,7,0,.,0,0,.,0,5,.,0,3,0,.,0,.
Lausen-Grünau,0,0,4,.,4,3,4,5,.,0,3,0,0,10,.,8,0,18,.,0,.,.,3,11,6,4,.,0,.,5,4,0,3,3,7,26,30,19,6,0,24,23,55,14,408,51,13,12,18,19,17,11,6,9,.,.,3,4,5,3,7,0,3
Grünau-Nord,.,.,.,3,.,.,7,.,4,0,3,.,0,5,5,13,4,.,0,.,.,0,0,8,3,3,.,0,.,.,.,0,.,.,.,9,22,11,3,0,29,22,41,.,59,341,24,22,26,10,6,14,8,6,6,0,3,9,.,.,.,0,4
Miltitz,0,0,0,0,.,3,0,0,0,0,0,0,0,0,0,.,0,6,0,0,.,0,0,.,0,0,0,0,.,0,.,0,0,0,.,0,.,.,0,0,4,0,3,.,4,10,35,0,.,6,3,0,8,0,0,0,0,.,.,0,.,0,.
Lindenau,.,5,6,22,21,22,6,8,4,6,3,0,0,12,16,14,3,.,0,0,4,.,.,18,11,6,.,6,0,43,21,3,7,4,69,85,32,12,5,0,5,12,17,.,13,21,.,173,126,34,23,13,4,3,.,.,0,20,17,.,9,.,.
Altlindenau,.,5,23,28,41,22,8,11,8,5,5,4,.,29,24,20,7,16,0,.,.,.,0,39,18,4,.,.,.,29,23,5,8,3,46,92,64,21,7,.,18,16,27,.,20,42,7,144,507,38,120,25,14,8,6,5,.,36,35,4,16,.,5
Neulindenau,.,.,.,6,13,.,6,3,.,3,3,0,.,9,15,.,.,4,0,.,0,0,0,7,5,.,.,0,0,4,4,.,8,0,8,38,34,7,.,0,14,17,25,.,13,23,9,30,83,215,26,12,3,11,4,5,0,4,13,4,4,.,3
Leutzsch,0,5,8,13,8,23,10,9,.,.,3,.,0,11,11,15,7,13,0,0,.,0,0,9,12,4,0,4,.,16,6,.,.,0,13,17,26,7,6,4,4,9,17,.,10,6,0,38,173,27,314,63,10,16,8,0,4,27,15,.,8,.,4
Böhlitz-Ehrenberg,0,3,.,4,3,6,4,4,5,.,3,4,0,.,3,4,.,6,0,3,.,0,3,5,3,0,.,0,5,6,6,4,6,0,8,12,14,10,0,0,6,8,7,0,19,6,.,6,70,14,64,344,35,14,11,.,4,12,8,.,9,0,0
Burghausen-Rückmarsdorf,0,0,.,.,.,0,0,.,3,0,.,.,0,0,0,0,.,.,.,.,0,0,.,5,.,3,0,0,.,4,.,0,.,0,.,0,3,0,0,0,.,.,0,.,11,4,.,5,10,3,15,28,61,.,.,.,.,5,8,.,3,.,.
Möckern,.,8,12,6,11,9,13,15,6,7,11,4,5,12,14,10,6,19,.,0,6,.,0,21,5,5,.,6,.,9,15,.,3,.,11,20,4,7,.,.,5,.,8,.,19,11,.,.,20,.,20,5,5,477,78,16,19,115,48,24,25,9,16
Wahren,.,3,.,.,5,5,11,6,5,.,3,4,0,7,10,.,3,8,3,.,0,0,.,11,.,.,4,.,.,4,6,.,.,.,.,5,7,0,0,0,11,0,9,0,5,4,0,.,12,.,20,15,3,80,141,17,26,44,21,8,10,0,7
Lützschena-Stahmeln,0,.,.,.,.,.,.,3,0,0,.,0,0,3,.,0,0,0,0,.,.,0,0,5,0,0,0,0,0,4,0,5,4,0,.,0,.,5,0,0,.,0,.,0,.,0,.,.,3,4,6,.,.,8,12,71,.,7,10,3,0,0,.
Lindenthal,0,0,0,3,.,.,5,3,5,.,11,0,.,5,5,.,.,7,.,3,3,0,0,5,5,0,3,0,.,.,7,0,.,0,.,4,5,3,0,0,.,0,4,0,6,.,0,5,3,0,5,3,.,40,48,5,174,22,26,24,19,0,20
Gohlis-Süd,14,19,39,27,38,58,78,41,7,16,12,4,.,21,23,22,12,25,6,0,9,3,.,41,26,.,.,.,8,64,26,3,9,6,30,25,15,6,3,0,8,10,9,8,23,9,.,23,42,15,21,15,5,114,28,14,16,471,146,48,65,9,11
Gohlis-Mitte,5,13,11,17,18,36,50,21,19,6,6,.,0,19,19,17,4,12,.,3,3,0,.,32,14,.,.,5,.,33,10,4,.,.,8,13,8,3,.,0,8,.,10,.,13,0,.,21,26,4,15,3,.,91,20,12,16,200,388,70,66,6,7
Gohlis-Nord,0,4,.,3,7,4,13,12,10,12,9,3,.,6,3,4,.,4,.,0,.,0,0,14,9,.,3,.,.,4,4,0,.,.,.,7,.,0,.,0,.,7,3,0,5,7,0,4,5,5,4,3,.,44,6,.,4,59,107,170,32,.,11
Eutritzsch,11,10,14,14,5,11,51,47,19,27,27,8,.,37,23,10,11,16,10,.,4,0,3,19,17,.,4,.,9,22,16,4,4,5,7,19,9,3,3,0,5,5,8,.,10,5,0,13,20,5,14,5,4,41,15,4,7,97,150,45,533,9,48
Seehausen,0,.,0,.,.,.,0,11,0,8,13,4,5,.,0,3,5,7,0,.,0,0,.,3,6,.,0,0,0,0,0,0,0,4,0,3,.,0,0,0,0,0,0,0,0,0,0,3,0,0,0,.,.,.,0,0,.,5,13,3,5,47,9
Wiederitzsch,6,.,8,3,5,4,4,8,0,5,8,3,.,5,4,0,.,5,.,0,.,0,0,6,.,4,0,0,0,9,0,0,0,4,0,3,5,0,0,.,0,.,7,.,.,.,0,0,6,0,.,.,.,24,7,.,8,14,43,25,24,.,142
